district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31,rps32
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９６號十一樓,13.55,商,,,1090110,土地1建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,134.29,3,2,2,有,有,9800000,81388,坡道平面,36.61,1850000,預售屋、或土地及建物分件登記案件；,RPSOMLTJRHIGFBF98DA,57.95,3.07,4.97,有,
五股區,房地(土地+建物),新北市五股區新五路三段２００號九樓,8.65,商,,,1090108,土地1建物1車位0,九層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,69.34,2,2,1,有,有,6020000,86819,,0,0,民國112年6月13日轉讓，交易總價新台幣635萬元整預售屋、或土地及建物分件登記案件；,RPUPMLTJRHIGFBF66DA,43.7,0,3.02,有,
五股區,房地(土地+建物),新北市五股區新五路三段２００號十六樓,8.65,商,,,1090108,土地1建物1車位0,十六層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,69.34,2,2,1,有,有,6020000,86819,,0,0,預售屋、或土地及建物分件登記案件；,RPPQMLTJRHIGFBF88DA,43.7,0,3.02,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１７８號十二樓,13.55,商,,,1081213,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,134.53,3,2,2,有,有,10500000,88337,坡道平面,36.61,1850000,預售屋、或土地及建物分件登記案件；,RPRVMLTJRHIGFBF96DA,57.95,3.09,4.97,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８２號十一樓,10.98,商,,,1081208,土地1建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,113.56,2,2,1,有,有,8300000,83821,坡道平面,36.61,1850000,預售屋、或土地及建物分件登記案件；,RPPTMLTJRHIGFBF56DA,45.28,3.48,3.11,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９８號六樓,12.15,商,,,1081208,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,123.18,2,2,2,有,有,9220000,86866,坡道平面,36.61,1700000,預售屋、或土地及建物分件登記案件；,RPVOMLTJRHIGFBF66DA,49.82,4.33,4.2,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１７６號十八樓,18.69,商,,,1081205,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,175.08,3,2,1,有,有,14200000,88828,坡道平面,36.61,1900000,預售屋、或土地及建物分件登記案件；,RPWUMLTJRHIGFBF37DA,75.44,12.03,5.87,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９０號六樓,10.98,商,,,1081230,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,113.56,2,2,1,有,有,8330000,84211,坡道平面,36.61,1850000,預售屋、或土地及建物分件登記案件；,RPSQMLTJRHIGFBF56DA,45.28,3.48,3.11,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８６號十五樓,13.55,商,,,1081207,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,133.95,3,2,2,有,有,10380000,87631,坡道平面,36.61,1850000,預售屋、或土地及建物分件登記案件；,RPWSMLTJRHIGFBF17DA,56.75,4.32,4.58,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１７２號十一樓,10.05,商,,,1081215,土地1建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,105.95,2,2,1,有,有,7400000,81483,坡道平面,36.61,1750000,預售屋、或土地及建物分件登記案件；,RPWTMLTJRHIGFBF27DA,43.7,0,3.02,有,
