district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31,rps32
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８８號二十二樓,24.11,都市：其他:通訊數位專用區,,,1120923,土地1建物1車位1,二十二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,144.83,3,2,2,有,有,34380000,287962,坡道平面,33.6,2350000,,RPUSMLRLKIIGFAF88DA,68.03,0,3.9,有,
板橋區,房地(土地+建物),新北市板橋區忠孝路１９６巷１０之１號三樓,10.78,住,,,1120930,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100324,80.41,2,2,1,有,有,15420000,191767,,0,0,含裝潢費；預售屋、或土地及建物分件登記案件；,RPRNMLSLKIIGFAF18DA,46.16,3.93,3.06,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８８號二樓,23.6,都市：其他:通訊數位專用區,,,1120806,土地1建物1車位1,二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,142.41,3,2,2,有,有,30950000,262843,坡道平面,33.6,2350000,,RPQSMLRLKIIGFAF48DA,66.44,0,3.9,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８８號十二樓,24.11,都市：其他:通訊數位專用區,,,1120828,土地1建物1車位1,十二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,144.83,3,2,2,有,有,31200000,259372,坡道平面,33.6,2350000,,RPRSMLRLKIIGFAF58DA,68.03,0,3.9,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８８號十六樓,24.11,都市：其他:通訊數位專用區,,,1120621,土地1建物1車位1,十六層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,144.83,3,2,2,有,有,31730000,264137,坡道平面,33.6,2350000,,RPSSMLRLKIIGFAF68DA,68.03,0,3.9,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路６６號十樓,10.11,住,,,1120524,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120620,93.09,0,2,1,有,有,13300000,186039,坡道平面,32.35,2000000,,RPUOMLTLKIIGFAF78EA,34.8,1.88,4.03,有,0480
板橋區,房地(土地+建物)+車位,新北市板橋區吳鳳路１９巷４２號二樓,15.96,住,,,1111208,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120728,124.72,2,2,1,有,有,14900000,146835,坡道平面,36.73,1980000,親友、員工、共有人或其他特殊關係間之交易；,RPTPMLLLKIIGFAF87DA,53.8,0,3.93,有,
板橋區,房地(土地+建物)+車位,新北市板橋區南雅東路４１之６號十一樓,16.09,住,,,1110806,土地3建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120822,77,2,1,1,有,有,13550000,161290,塔式車位,2.91,1600000,因面積增減找補，賣方找補買方金額6393元正預售屋、或土地及建物分件登記案件；,RPSOMLQLKIIGFAF18DA,46.28,0,3.39,有,
板橋區,房地(土地+建物),新北市板橋區幸福路３２巷１６號二樓,22.25,住,,,1101114,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620124,71.4,3,1,1,有,無,8900000,124650,,0,0,,RPXNMLNJJHJGFAF08EA,63.92,0,7.48,無,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路６６號十二樓,10.11,住,,,1081230,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120620,93.09,2,2,1,有,有,10480000,142081,坡道平面,32.35,1850000,預售屋、或土地及建物分件登記案件；,RPSONLPLQHIGFAF68DA,34.8,1.88,4.03,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路６０號七樓,35.31,住,,,1080923,土地1建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120620,279.68,4,2,3,有,有,33930000,142478,坡道平面,64.7,3300000,預售屋、或土地及建物分件登記案件；,RPSUMLPLQHIGFAF56DA,123.01,6.16,14.92,有,
